ID,Combo#,A,B,C,y
Run1,0,61.3,18.0,41.8,178.6
Run2,8,94.1,23.0,43.0,147.8
Run3,3,22.9,23.0,40.6,146.5
Run4,1,22.9,13.0,40.6,233.7
Run5,2,22.9,13.0,43.0,275.4
Run6,4,22.9,23.0,43.0,181.0
Run7,7,94.1,23.0,40.6,134.0
Run8,6,94.1,13.0,43.0,245.7
Run9,5,94.1,13.0,40.6,196.0
Run10,0,61.3,18.0,41.8,185.9
Run11,1,22.9,13.0,40.6,236.1
Run12,4,22.9,23.0,43.0,166.4
Run13,3,22.9,23.0,40.6,148.8
Run14,6,94.1,13.0,43.0,254.3
Run15,8,94.1,23.0,43.0,142.6
Run16,2,22.9,13.0,43.0,254.0
Run17,5,94.1,13.0,40.6,194.0
Run18,7,94.1,23.0,40.6,129.2
Run19,0,61.3,18.0,41.8,178.1
Run20,2,22.9,13.0,43.0,270.0
Run21,3,22.9,23.0,40.6,157.0
Run22,6,94.1,13.0,43.0,214.7
Run23,8,94.1,23.0,43.0,150.3
Run24,5,94.1,13.0,40.6,189.1
Run25,4,22.9,23.0,43.0,165.2
Run26,7,94.1,23.0,40.6,125.9
Run27,1,22.9,13.0,40.6,236.1
Run28,0,61.3,18.0,41.8,176.5